customer_id;credit_lines_outstanding;loan_amt_outstanding;total_debt_outstanding;income;years_employed;fico_score;default
8153374;0;5.221.545.193;3.915.471.226;7.803.938.546;5;605;0
7442532;5;1.958.928.726;822.875.252;2.664.843.525;2;572;1
2256073;0;3.363.009.259;202.783.085;6.586.671.246;4;602;0
4885975;0;4.766.648.001;2.501.730.397;7.435.688.347;5;612;0
4700614;1;1.345.827.718;1.768.826.187;2.344.832.631;6;631;0
4661159;0;5.376.886.873;7.189.121.298;8.552.984.591;2;697;0
8291909;1;3.634.057.471;7.085.980.095;6.869.157.707;6;722;0
4616950;4;3.302.172.238;1.306.757.021;5.035.216.821;3;545;1
3395789;0;2.938.325.123;1.918.404.472;5.349.737.754;4;676;0
4045948;0;5.396.366.774;5.298.824.524;9.234.955.399;2;447;0
1946105;5;4.224.542.337;1.885.828.272;7.697.503.318;7;640;1
7026356;1;547.006.369;1.035.763.606;9.868.826.823;5;636;0
3555143;1;3.440.842.174;7.009.017.521;4.941.351.814;3;527;0
1852525;1;4.799.604.414;7.321.171.391;8.153.451.708;5;638;0
2436643;0;2.909.447.925;2.713.013.317;6.234.039.145;2;616;0
1089094;0;3.281.568.882;6.447.096.241;6.304.243.756;3;644;0
2618670;0;5.579.715.349;175.576.098;8.349.003.355;3;606;0
4841253;1;4.407.471.929;8.331.603.288;5.452.770.813;3;727;0
4522930;5;2.761.049.506;1.662.080.342;5.242.852.206;4;627;1
2999053;0;4.461.847.138;6.965.056.642;9.814.974.308;6;581;0
2723215;2;3.477.433.899;8.389.081.942;7.076.064.317;8;667;0
1467134;4;2.608.798.997;1.117.743.742;3.968.219.883;1;480;1
4754857;1;5.138.918.794;1.156.629.898;1.012.685.826;5;677;0
4039149;2;4.199.164.596;9.607.021.343;6.216.028.338;6;726;0
8521446;0;3.334.584.216;299.209.521;6.892.827.308;5;596;0
1279600;1;307.955.134;4.606.951.938;5.459.243.358;7;605;0
7269476;0;3.040.960.977;4.404.918.315;4.701.243.037;2;636;0
2289318;0;2.212.887.987;6.107.649.879;4.264.215.937;4;642;0
6552907;0;3.285.841.537;4.459.926.443;6.638.217.214;4;596;0
8753437;0;3.258.508.608;3.982.097.842;7.202.381.125;2;667;0
4320547;1;3.438.165.737;6.899.967.887;9.577.169.288;7;580;0
5451200;2;4.929.427.201;1.000.259.086;6.553.266.639;4;697;0
6325220;5;3.507.902.474;1.999.089.793;6.948.670.311;4;542;1
6037431;3;5.527.944.216;1.479.518.286;7.821.076.357;4;668;0
3258404;1;3.044.751.919;497.239.513;5.371.470.992;6;787;0
4529904;0;2.979.485.594;5.964.402.963;6.068.019.975;4;673;0
4756862;0;1.598.115.491;2.106.924.814;2.607.177.675;4;609;0
2671353;5;5.691.710.738;258.023.152;8.507.545.006;4;541;1
8919468;0;6.122.534.809;330.852.031;8.675.774.902;4;560;0
7240623;5;4.296.127.286;22.541.026;7.437.907.589;2;607;1
7096072;1;5.713.466.421;9.572.714.973;8.995.631.788;5;631;0
6645305;2;3.196.367.779;1.228.543.342;9.208.561.348;7;746;0
8551890;0;5.044.106.619;5.378.621.481;9.138.346.571;4;530;0
7602707;0;3.712.750.866;374.847.485;587.734.523;6;615;0
4951943;5;3.308.441.678;1.804.203.529;6.051.388.204;4;552;1
6288882;2;3.056.005.959;8.496.600.307;7.675.028.031;8;606;0
4382360;3;4.806.864.262;1.470.298.825;8.759.308.538;5;599;0
4144487;0;4.392.816.559;5.063.187.358;5.546.263.115;4;679;0
1629547;0;3.019.475.375;4.463.892.355;4.463.892.355;3;603;0
2948051;0;4.470.490.457;2.387.751.259;6.630.755.718;4;764;0
1237675;1;4.357.308.441;1.082.344.917;8.945.265.138;6;736;0
7125694;0;2.904.436.456;3.806.284.655;4.501.950.894;4;751;0
1113748;1;1.888.053.856;4.179.967.159;3.600.406.641;5;610;0
2512418;4;3.167.933.042;1.126.954.487;5.373.973.516;7;663;0
7678486;0;2.647.608.576;3.633.448.864;694.276.089;6;737;0
5161636;0;2.264.648.869;2.138.377.198;3.024.831.246;3;629;0
7365670;3;267.354.163;7.233.006.733;4.679.158.228;7;689;0
6381573;5;3.848.509.319;1.805.244.355;6.091.957.161;4;587;1
3238472;5;4.604.738.825;2.461.466.577;7.869.794.413;5;692;1
3252127;0;3.372.376.095;3.405.489.888;5.502.627.562;3;706;0
8571897;1;4.689.997.284;7.454.473.944;8.994.020.848;8;515;0
1444612;0;2.813.780.246;1.909.867.606;4.780.487.496;6;702;0
6562873;0;3.369.099.325;3.477.305.329;5.175.693.553;3;638;0
6714332;1;3.179.923.385;6.909.539.007;7.784.218.685;6;612;0
3087069;0;429.447.539;723.749.265;7.051.435.871;3;583;0
8010926;0;6.148.494.512;8.433.674.406;8.433.674.406;5;720;0
6551322;0;5.204.224.599;5.528.201.971;1.064.263.955;4;607;0
3672265;1;5.423.942.645;8.524.640.887;9.915.069.003;7;750;0
3068840;0;5.259.363.393;8.850.746.882;8.850.746.882;5;662;0
6031818;5;3.280.272.295;1.873.254.767;6.741.722.083;3;563;1
6410292;0;3.691.985.766;5.641.919.221;7.550.714.829;4;611;0
2195286;1;2.800.316.359;454.064.595;4.304.016.541;3;754;0
2483066;1;1.645.741.726;334.406.227;376.608.669;7;663;0
8380627;1;5.137.219.376;8.042.606.207;7.974.133.151;6;709;0
8926016;5;4.455.723.618;2.175.958.907;6.824.117.866;4;576;1
1729821;5;4.611.226.168;2.517.240.934;8.730.638.652;5;611;1
8935419;2;2.228.164.899;74.304.677;6.171.477.493;8;669;0
7713931;5;4.477.721.762;2.552.587.565;631.906.675;3;612;1
2593152;1;6.114.066.639;1.045.460.074;9.044.183.333;5;720;0
4265770;2;3.682.300.399;1.366.547.622;8.121.598.749;5;589;0
6694674;1;230.503.445;4.681.362.495;5.488.543.693;7;578;0
2878530;0;3.270.453.879;5.708.356.554;5.708.356.554;5;652;0
1760607;0;3.157.845.091;2.359.788.951;4.953.862.055;4;687;0
1083392;0;6.547.709.898;457.287.505;1.042.140.756;5;633;0
2548560;5;5.227.129.372;3.089.738.167;8.384.058.872;4;569;1
7517038;2;2.042.535.985;5.779.605.547;3.631.379.378;6;657;0
3279204;1;3.509.853.269;9.434.868.921;75.551.558;4;754;0
7787477;0;4.911.323.807;6.452.905.939;7.211.266.078;4;642;0
3467139;0;1.875.113.047;2.365.397.903;2.956.560.654;2;708;0
8989969;5;4.118.251.907;1.938.855.381;7.200.148.849;3;627;1
4618641;0;7.042.304.481;4.137.426.549;854.130.674;5;745;0
3879675;3;2.722.706.729;8.732.939.038;4.863.257.113;7;685;0
2338819;0;494.533.944;2.570.333.551;8.590.195.454;3;679;0
8127530;0;3.003.766.079;4.053.095.356;3.993.225.513;3;697;0
2559477;4;3.906.630.457;1.622.727.569;5.673.291.535;1;603;1
5699479;5;3.840.418.321;1.499.426.544;5.379.432.662;1;555;1
4675595;2;367.092.571;959.622.646;7.571.862.338;8;687;0
2061413;0;2.038.609.652;2.984.174.167;428.786.052;6;625;0
7431458;0;2.914.249.997;9.173.111.082;6.487.974.563;5;581;0
1638898;1;3.707.461.716;4.634.160.556;5.759.745.492;5;633;0
