credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
0,5221545193,3915471226,7803938546,5,605,0
5,1958928726,822875252,2664843525,2,572,1
0,3363009259,202783085,6586671246,4,602,0
0,4766648001,2501730397,7435688347,5,612,0
1,1345827718,1768826187,2344832631,6,631,0
0,5376886873,7189121298,8552984591,2,697,0
1,3634057471,7085980095,6869157707,6,722,0
4,3302172238,1306757021,5035216821,3,545,1
0,2938325123,1918404472,5349737754,4,676,0
0,5396366774,5298824524,9234955399,2,447,0
5,4224542337,1885828272,7697503318,7,640,1
1,547006369,1035763606,9868826823,5,636,0
1,3440842174,7009017521,4941351814,3,527,0
1,4799604414,7321171391,8153451708,5,638,0
0,2909447925,2713013317,6234039145,2,616,0
0,3281568882,6447096241,6304243756,3,644,0
0,5579715349,175576098,8349003355,3,606,0
1,4407471929,8331603288,5452770813,3,727,0
5,2761049506,1662080342,5242852206,4,627,1
0,4461847138,6965056642,9814974308,6,581,0
2,3477433899,8389081942,7076064317,8,667,0
4,2608798997,1117743742,3968219883,1,480,1
1,5138918794,1156629898,1012685826,5,677,0
2,4199164596,9607021343,6216028338,6,726,0
0,3334584216,299209521,6892827308,5,596,0
1,307955134,4606951938,5459243358,7,605,0
0,3040960977,4404918315,4701243037,2,636,0
0,2212887987,6107649879,4264215937,4,642,0
0,3285841537,4459926443,6638217214,4,596,0
0,3258508608,3982097842,7202381125,2,667,0
1,3438165737,6899967887,9577169288,7,580,0
2,4929427201,1000259086,6553266639,4,697,0
5,3507902474,1999089793,6948670311,4,542,1
3,5527944216,1479518286,7821076357,4,668,0
1,3044751919,497239513,5371470992,6,787,0
0,2979485594,5964402963,6068019975,4,673,0
0,1598115491,2106924814,2607177675,4,609,0
5,5691710738,258023152,8507545006,4,541,1
0,6122534809,330852031,8675774902,4,560,0
5,4296127286,22541026,7437907589,2,607,1
1,5713466421,9572714973,8995631788,5,631,0
2,3196367779,1228543342,9208561348,7,746,0
0,5044106619,5378621481,9138346571,4,530,0
0,3712750866,374847485,587734523,6,615,0
5,3308441678,1804203529,6051388204,4,552,1
2,3056005959,8496600307,7675028031,8,606,0
3,4806864262,1470298825,8759308538,5,599,0
0,4392816559,5063187358,5546263115,4,679,0
0,3019475375,4463892355,4463892355,3,603,0
0,4470490457,2387751259,6630755718,4,764,0
1,4357308441,1082344917,8945265138,6,736,0
0,2904436456,3806284655,4501950894,4,751,0
1,1888053856,4179967159,3600406641,5,610,0
4,3167933042,1126954487,5373973516,7,663,0
0,2647608576,3633448864,694276089,6,737,0
0,2264648869,2138377198,3024831246,3,629,0
3,267354163,7233006733,4679158228,7,689,0
5,3848509319,1805244355,6091957161,4,587,1
5,4604738825,2461466577,7869794413,5,692,1
0,3372376095,3405489888,5502627562,3,706,0
1,4689997284,7454473944,8994020848,8,515,0
0,2813780246,1909867606,4780487496,6,702,0
0,3369099325,3477305329,5175693553,3,638,0
1,3179923385,6909539007,7784218685,6,612,0
0,429447539,723749265,7051435871,3,583,0
0,6148494512,8433674406,8433674406,5,720,0
0,5204224599,5528201971,1064263955,4,607,0
1,5423942645,8524640887,9915069003,7,750,0
0,5259363393,8850746882,8850746882,5,662,0
5,3280272295,1873254767,6741722083,3,563,1
0,3691985766,5641919221,7550714829,4,611,0
1,2800316359,454064595,4304016541,3,754,0
1,1645741726,334406227,376608669,7,663,0
1,5137219376,8042606207,7974133151,6,709,0
5,4455723618,2175958907,6824117866,4,576,1
5,4611226168,2517240934,8730638652,5,611,1
2,2228164899,74304677,6171477493,8,669,0
5,4477721762,2552587565,631906675,3,612,1
1,6114066639,1045460074,9044183333,5,720,0
2,3682300399,1366547622,8121598749,5,589,0
1,230503445,4681362495,5488543693,7,578,0
0,3270453879,5708356554,5708356554,5,652,0
0,3157845091,2359788951,4953862055,4,687,0
0,6547709898,457287505,1042140756,5,633,0
5,5227129372,3089738167,8384058872,4,569,1
2,2042535985,5779605547,3631379378,6,657,0
1,3509853269,9434868921,75551558,4,754,0
0,4911323807,6452905939,7211266078,4,642,0
0,1875113047,2365397903,2956560654,2,708,0
5,4118251907,1938855381,7200148849,3,627,1
0,7042304481,4137426549,854130674,5,745,0
3,2722706729,8732939038,4863257113,7,685,0
0,494533944,2570333551,8590195454,3,679,0
0,3003766079,4053095356,3993225513,3,697,0
4,3906630457,1622727569,5673291535,1,603,1
5,3840418321,1499426544,5379432662,1,555,1
2,367092571,959622646,7571862338,8,687,0
0,2038609652,2984174167,428786052,6,625,0
0,2914249997,9173111082,6487974563,5,581,0
1,3707461716,4634160556,5759745492,5,633,0
5,4926741674,1894313978,7213600622,4,622,1
1,440832239,6702412553,792682046,5,610,0
5,5390873161,3044176235,9184402459,2,584,1
3,6596195494,160869749,9195222747,4,628,0
0,4539190184,6126144466,8651854294,4,724,0
1,2313344837,3211670516,3812495405,5,620,0
1,3560648035,527374225,6049719791,6,563,0
0,6679103143,3956076166,8659894627,6,678,0
0,6064123004,4651182782,8331608541,4,602,0
1,3814162931,6141232793,674501106,5,672,0
2,2937878102,5093558864,5789437634,8,724,0
0,5227304902,2691896355,6917002023,4,626,0
0,428742859,750336695,7795779285,4,749,0
5,3772763476,1414906605,5958426177,5,582,1
2,4629349219,9963382976,8389164859,8,693,0
1,5466033694,9941901446,8655477009,6,632,0
1,4299363828,484519607,5163108241,6,655,0
2,3941702572,922390984,6727784361,6,693,0
0,3815899042,3672601881,5354949228,3,721,0
1,3214507783,8410327087,8213909878,4,710,0
5,5114174723,2977741208,1050985136,3,541,1
1,3878313431,7861594153,6035934399,6,587,0
0,2674325465,1137337287,3733603927,4,581,0
5,4429009343,267164405,9968345517,3,572,1
1,5582363567,1209547957,1034192758,3,706,0
4,6151278331,2325514566,8604689206,1,582,1
0,3290896426,5657631026,7348618279,5,710,0
1,5050121922,9127972294,9712987374,6,705,0
0,21490705,1594604164,4147113448,5,672,0
4,2448725785,8633235167,3882562225,6,568,1
0,4979313632,4406527131,7293539338,4,511,0
1,4267109917,1012565275,7169376513,4,640,0
0,2869296274,4440416974,5372666419,4,709,0
0,3037025908,6130814575,6232467423,2,707,0
0,1834414296,1585684165,3269406961,8,651,0
0,5291484161,8467774634,8467774634,3,662,0
2,5174483976,1359812768,9612243767,7,766,0
0,3123551351,2848412825,491417287,6,692,0
1,3726430399,5573155053,6689813695,6,590,0
0,4464454642,621064164,7348670488,5,657,0
3,5235733354,1790807126,8797616249,2,592,1
2,4784129283,909704171,7551882694,7,718,0
0,4069066702,2222133458,7985659991,3,720,0
0,3748408787,5177990608,614540597,3,636,0
0,2042493602,3838508156,386603946,2,654,0
0,3895269812,4945140186,5973250624,4,513,0
